Qex_time,Qex_flow
7815.0,0.000217
7820.0,0.000274
7825.0,0.000251
7830.0,0.000225
7835.0,0.000241
7840.0,0.0002930000000000001
7845.0,0.000204
7850.0,0.000259
7855.0,0.00024
7860.0,0.00022
7865.0,0.000251
7870.0,0.000267
7875.0,0.000217
7880.0,0.000275
7885.0,0.000281
7890.0,0.000225
7895.0,0.000261
7900.0,0.000329
7905.0,0.00029
7910.0,0.000346
7915.0,0.000401
7920.0,0.000372
7925.0,0.000412
7930.0,0.000436
7935.0,0.000389
7940.0,0.000478
7945.0,0.000578
7950.0,0.0005650000000000001
7955.0,0.0006419999999999999
7960.0,0.000628
7965.0,0.000705
7970.0,0.000857
7975.0,0.000794
7980.0,0.000846
7985.0,0.000939
7990.0,0.000834
7995.0,0.000935
8000.0,0.001009
8005.0,0.000957
8010.0,0.001042
8015.0,0.001419
8020.0,0.002446
8025.0,0.004388
8030.0,0.007407
8035.0,0.011367
8040.0,0.017491000000000003
8045.0,0.024104000000000004
8050.0,0.030396
8055.0,0.036944
8060.0,0.043805
8065.0,0.04851599999999999
8070.0,0.05365700000000001
8075.0,0.057251
8080.0,0.059484
8085.0,0.061407
8090.0,0.064085
8095.0,0.06631
8100.0,0.06807
8105.0,0.069662
8110.0,0.070596
8115.0,0.07111
8120.0,0.07348400000000001
8125.0,0.074203
8130.0,0.07546299999999999
8135.0,0.076173
8140.0,0.076836
8145.0,0.077037
8150.0,0.077953
8155.0,0.078378
8160.0,0.078374
8165.0,0.078459
8170.0,0.07813
8175.0,0.078688
8180.0,0.078355
8185.0,0.07821800000000001
8190.0,0.078248
8195.0,0.078296
8200.0,0.077168
8205.0,0.076506
8210.0,0.07597800000000002
8215.0,0.074645
8220.0,0.074735
8225.0,0.07481
8230.0,0.073257
8235.0,0.07272
8240.0,0.072711
8245.0,0.071518
8250.0,0.071554
8255.0,0.071079
8260.0,0.069837
8265.0,0.06842
8270.0,0.068125
8275.0,0.066283
8280.0,0.066745
8285.0,0.066587
8290.0,0.066153
8295.0,0.064626
8300.0,0.063927
8305.0,0.063371
8310.0,0.062488
8315.0,0.061494
8320.0,0.060803
8325.0,0.059808
8330.0,0.059618
8335.0,0.058565
8340.0,0.05897
8345.0,0.058803
8350.0,0.058323
8355.0,0.058328
8360.0,0.05972
8365.0,0.058486
8370.0,0.060981
8375.0,0.062682
8380.0,0.064507
8385.0,0.068251
8390.0,0.074371
8395.0,0.08172699999999998
8400.0,0.092782
8405.0,0.105405
8410.0,0.12152
8415.0,0.137227
8420.0,0.152523
8425.0,0.167402
8430.0,0.18496199999999996
8435.0,0.199794
8440.0,0.213305
8445.0,0.226376
8450.0,0.237471
8455.0,0.24680700000000003
8460.0,0.255607
8465.0,0.26116
8470.0,0.267859
8475.0,0.271958
